 #Condensation Temperatures (K) vs Pressure (Bar) for the 13 Cloud Species used in Roman et al (2020), and 4 species used in Roman & Rauscher (2019). Values are based plots from Mbarek & Kempton (2016).
#Pressure(bars) KCl ZnS Na2S MnS Cr SiO2 Mg2SiO4 VO Ni Fe Ca2SiO4 CaTiO3 Al2O3 MgSiO3
   9.2073E-01   7.9001E+02   8.6244E+02   9.9818E+02   1520   1.5221E+03   1.6400E+03   1.7085E+03   1.7295E+03   1.7136E+03   1.8522E+03   1.8768E+03   1.9527E+03   1.9986E+03	1598.45
   1.2138E+00   7.9562E+02   8.6805E+02   1.0066E+03   1534   1.5345E+03   1.6517E+03   1.7211E+03   1.7429E+03   1.7284E+03   1.8719E+03   1.8911E+03   1.9670E+03   2.0103E+03	1609.41
   1.6000E+00   8.0404E+02   8.7365E+02   1.0171E+03   1548   1.5527E+03   1.6634E+03   1.7336E+03   1.7570E+03   1.7468E+03   1.8929E+03   1.9037E+03   1.9797E+03   2.0213E+03	1620.62
   2.1093E+00   8.0965E+02   8.7926E+02   1.0263E+03   1561   1.5680E+03   1.6760E+03   1.7469E+03   1.7710E+03   1.7667E+03   1.9140E+03   1.9191E+03   1.9927E+03   2.0327E+03	1631.41
   2.7806E+00   8.1641E+02   8.8487E+02   1.0348E+03   1575   1.5850E+03   1.6898E+03   1.7615E+03   1.7840E+03   1.7862E+03   1.9328E+03   1.9345E+03   2.0070E+03   2.0441E+03	1642.37
   3.6655E+00   8.2368E+02   8.9047E+02   1.0447E+03   1588   1.6015E+03   1.7030E+03   1.7758E+03   1.7969E+03   1.8002E+03   1.9562E+03   1.9490E+03   2.0213E+03   2.0555E+03	1654.32
   4.8321E+00   8.3107E+02   8.9608E+02   1.0545E+03   1602   1.6193E+03   1.7165E+03   1.7895E+03   1.8104E+03   1.8175E+03   1.9811E+03   1.9635E+03   2.0353E+03   2.0669E+03	1666.68
   6.3699E+00   8.3771E+02   9.0168E+02   1.0630E+03   1617   1.6350E+03   1.7307E+03   1.8047E+03   1.8244E+03   1.8387E+03   2.0067E+03   1.9807E+03   2.0478E+03   2.0783E+03	1678.34
   8.3971E+00   8.4613E+02   9.0729E+02   1.0742E+03   1633   1.6507E+03   1.7464E+03   1.8191E+03   1.8385E+03   1.8571E+03   2.0295E+03   1.9952E+03   2.0631E+03   2.0897E+03	1689.61
   1.1070E+01   8.5455E+02   9.1570E+02   1.0852E+03   1649   1.6679E+03   1.7600E+03   1.8335E+03   1.8525E+03   1.8783E+03   2.0536E+03   2.0115E+03   2.0786E+03   2.1011E+03	1702.01
   1.4593E+01   8.6296E+02   9.2190E+02   1.0925E+03   1665   1.6838E+03   1.7762E+03   1.8509E+03   1.8671E+03   1.8967E+03   2.0778E+03   2.0270E+03   2.0967E+03   2.1125E+03	1715.51
   1.9237E+01   8.7050E+02   9.2971E+02   1.1024E+03   1681   1.6993E+03   1.7927E+03   1.8665E+03   1.8807E+03   1.9175E+03   2.1022E+03   2.0443E+03   2.1120E+03   2.1239E+03	1727.89
   2.5359E+01   8.7980E+02   9.3655E+02   1.1127E+03   1697   1.7165E+03   1.8120E+03   1.8848E+03   1.8975E+03   1.9363E+03   2.1289E+03   2.0606E+03   2.1301E+03   2.1381E+03	1739.21
   3.3430E+01   8.8795E+02   9.4372E+02   1.1228E+03   1713   1.7326E+03   1.8301E+03   1.9031E+03   1.9142E+03   1.9575E+03   2.1612E+03   2.0789E+03   2.1445E+03   2.1495E+03	1751.75
   4.4069E+01   8.9663E+02   9.4933E+02   1.1358E+03   1729   1.7479E+03   1.8477E+03   1.9230E+03   1.9299E+03   1.9730E+03   2.1912E+03   2.0972E+03   2.1616E+03   2.1638E+03	1765.34
   5.8094E+01   9.0505E+02   9.5573E+02   1.1459E+03   1745   1.7661E+03   1.8670E+03   1.9425E+03   1.9457E+03   1.9942E+03   2.2210E+03   2.1184E+03   2.1820E+03   2.1763E+03	1778.58
   7.6583E+01   9.1272E+02   9.6306E+02   1.1587E+03   1761   1.7814E+03   1.8863E+03   1.9637E+03   1.9642E+03   2.0182E+03   2.2508E+03   2.1395E+03   2.2046E+03   2.1916E+03	1790.56
   1.0000E+02   9.1627E+02   9.6614E+02   1.1643E+03   1791   1.7919E+03   1.8974E+03   1.9743E+03   1.9720E+03   2.0288E+03   2.2624E+03   2.1501E+03   2.2137E+03   2.1993E+03	1796.07
